Dataset,Test Samples,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall
Corona,8984,0.7674755120213713,0.772350358333621,0.7860248134325271,0.7674755120213713
Borderlands,14444,0.7390612018831348,0.7389220867414495,0.7448962450248547,0.7390612018831348
Airline,2923,0.721861101607937,0.7331694111784691,0.7599510003065034,0.721861101607937
Climate,8783,0.6822270294887851,0.6891686720749158,0.7045847698918011,0.6822270294887851
Combined,35133,0.6628810520023909,0.6631097571197437,0.6643320113549105,0.6628810520023909
