Dataset,Baseline F1,Naive Bayes F1,SVM F1,NB Improvement %,SVM Improvement %
Borderlands,0.7389220867414495,0.7512753999280103,0.8362188343078548,1.671801859521787,13.167389270426508
Airline,0.7331694111784691,0.6564148982539706,0.7606322292414301,-10.46886459721856,3.7457670279531055
Climate,0.6891686720749158,0.6795630933097215,0.7143082017838621,-1.3937921374566093,3.6478050624758374
Corona,0.772350358333621,0.6393874451913881,0.7769347260938035,-17.215362394484547,0.5935606439121142
Combined,0.6631097571197437,0.6538671059782336,0.7004116592348533,-1.3938342849389107,5.625298333285358
